name,group,status,backupDate,size,notes,path
Production,Phenome Networks,suspect,2026-05-17,20.0 B,Size 20.0 B below threshold (20.0 MB),s3://phn-p2g.prod-rds-backup/rds_weekly_backup/2026-05-17/
Sakata,Sakata,ok,2026-05-16,8.4 GB,,s3://phenome-sakata-weekly-backup/rds-weekly-backups/2026-05-16/
Sakata - Test,Sakata,ok,2026-05-16,7.4 GB,,s3://phenome-sakatatest-weekly-backup/rds_weekly_backup/2026-05-16/
Top Seeds,Top Seeds,ok,2026-05-16,1.8 GB,,s3://phenome-topseeds-mysql-backup/rds_weekly_backup/2026-05-16/
Kimberly Clark - EKS,Kimberly Clark,suspect,2026-05-16,402.9 KB,Size 402.9 KB below threshold (20.0 MB),s3://phenome-kimberly-clark-mysql-backup/rds_weekly_backup/2026-05-16/
East West Seeds,East West Seeds,ok,2026-05-16,5.6 GB,,s3://ews-mysql-weekly-backups/weekly_backup/2026-05-16/
Danziger,Danziger,ok,2026-05-16,1.4 GB,,s3://phenome-danziger-mysql-backup/weekly_backup/2026-05-16/
Starke Ayres,Starke Ayres,ok,2026-05-16,937.9 MB,,s3://phenome-starkeayres-mysql/weekly_backups/2026-05-16/
Gautier,Gautier,ok,2026-05-16,581.2 MB,,s3://phenome-gautier-rds-backup/weekly_backups/2026-05-16/
Mahyco,Mahyco,ok,2026-05-16,1.9 GB,,s3://phenome-mahyco-mysql-backup/rds_weekly_backup/2026-05-16/
Planasa,Planasa,ok,2026-05-16,1000.2 MB,,s3://phenome-planasnew-mysql-weekly/weekly_backup/2026-05-16/
Farm Hannong,Farm Hannong,na,,,Disabled,
Kaiima,Kaiima,ok,2026-05-16,533.9 MB,,s3://phenome-kaiima-mysql-backup/rds_weekly_backup/2026-05-16/
Kraftheinz,Kraftheinz,ok,2026-05-16,192.4 MB,,s3://phenome-kraftheinz-mysql-weekly-backup/weekly_backups/2026-05-16/
Pepsico,Pepsico,ok,2026-05-16,71.5 MB,,s3://phenome-pepsico-mysql-backup/weekly_backup/2026-05-16/
Origene,Origene,ok,2026-05-16,991.7 MB,,s3://phenome-origene-mysql-backup/rds_weekly_backup/2026-05-16/
British American (BAT),BAT,na,,,Disabled,
East West Seeds Indonesia,East West Seeds,ok,2026-05-16,1.3 GB,,s3://ews-indonesia-mysql-daily-backups/rds_weekly_backup/2026-05-16/
Ramiro,Ramiro,ok,2026-05-16,1.0 GB,,s3://phenome-ramiro-mysql-weekly/weekly_backup/2026-05-16/
McCain,McCain,ok,2026-05-16,748.6 MB,,s3://phenome-mccain-mysql-weekly/rds_weekly_backup/2026-05-16/
Seedworks,Seedworks,ok,2026-05-16,1.3 GB,,s3://phenome-seedworks-mysql-backup/weekly_backups/2026-05-16/
Ball,Ball,ok,2026-05-16,1.2 GB,,s3://phenome-ball-mysql-backup/rds_weekly_backup/2026-05-16/
Axia Seeds (VoloAgri),VoloAgri,ok,2026-05-17,818.2 MB,,s3://phenome-onprem-mysql-backup/axia/2026-05-17/
Gates Ag One,Gates Ag One,ok,2026-05-16,440.2 MB,,s3://phenome-gatesagonetest-mysql-weekly-backup/weekly_backups/2026-05-16/
Gates Ag One - TEST,Gates Ag One,ok,2026-05-16,647.1 MB,,s3://phenome-gatesagone-weekly/weekly_backup/2026-05-16/
Fito,Fito,ok,2026-05-16,2.7 GB,,s3://phenome-fito-mysql-weekly/weekly_backup/2026-05-16/
Solynta,Solynta,ok,2026-05-16,2.0 GB,,s3://phenome-solynta-mysql-weekly/weekly_backup/2026-05-16/
Solynta - TEST,Solynta,ok,2026-05-16,1.5 GB,,s3://phenome-testsolynta-rds-backup/weekly_backups/2026-05-16/
Syngenta,Syngenta,ok,2026-05-16,1.1 GB,,s3://phenome-syngenta-mysql-weekly/weekly_backup/2026-05-16/
S&A Produce UK,S&A Produce,ok,2026-05-16,48.7 MB,,s3://phenome-saproduceuk-rds-backup/rds_weekly_backup/2026-05-16/
BASF - Production,BASF,na,,,Disabled,
BASF - QA (QUAL),BASF,na,,,Disabled,
BASF - DEV,BASF,na,,,Disabled,
BASF - Migration,BASF,na,,,Disabled,
GDM Production,GDM,na,,,Disabled,
Enza Test,Enza Zaden,ok,2026-05-16,7.4 GB,,s3://enza-test-database-backup/rds_weekly_backup/2026-05-16/
Enza Accept,Enza Zaden,ok,2026-05-10,7.3 GB,,s3://enza-accept-database-backup/rds_weekly_backup/2026-05-10/
Enza Production,Enza Zaden,ok,2026-05-17,9.8 GB,,s3://enza-prod-weekly-database-backup/weekly_backup/2026-05-17/
